room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15334131,1360,8159343,Entire home/apt,,Frankfurt,,Bornheim,6,5.0,2,1.0,,87.0,,2017-06-22 15:31:26.705889,50.127066,8.706701,0101000020E6100000DB19A6B6D46921407E37DDB243104940
4507217,1360,21841829,Entire home/apt,,Frankfurt,,Westend-Nord,1,0.0,4,1.0,,92.0,,2017-06-22 15:31:26.703112,50.1218,8.674478,0101000020E610000034BE2F2E555921408F537424970F4940
15409100,1360,22469223,Entire home/apt,,Frankfurt,,Nordend-Ost,4,5.0,2,1.0,,92.0,,2017-06-22 15:31:26.700487,50.120484,8.690064,0101000020E61000003C4B9011506121407BD80B056C0F4940
9229572,1360,47981871,Entire home/apt,,Frankfurt,,Sachsenhausen-S.,6,4.5,2,1.0,,83.0,,2017-06-22 15:31:26.690235,50.097088,8.695918,0101000020E61000003D65355D4F642140C26A2C616D0C4940
8425689,1360,44107035,Entire home/apt,,Frankfurt,,Bockenheim,0,0.0,3,1.0,,92.0,,2017-06-22 15:31:26.681916,50.124405,8.63893,0101000020E6100000D7DD3CD521472140BD3AC780EC0F4940
4384440,1360,22761826,Entire home/apt,,Frankfurt,,Bornheim,3,4.5,3,2.0,,92.0,,2017-06-22 15:31:26.678244,50.134084,8.710433,0101000020E610000093FFC9DFBD6B21405C751DAA29114940
12270293,1360,66091184,Entire home/apt,,Frankfurt,,Sachsenhausen-S.,10,5.0,2,1.0,,98.0,,2017-06-22 15:31:26.674460,50.100722,8.693178,0101000020E6100000069D103AE86221406DFE5F75E40C4940
11936070,1360,49104776,Entire home/apt,,Frankfurt,,Gallus,1,0.0,2,1.0,,90.0,,2017-06-22 15:31:24.607216,50.108186,8.640909,0101000020E6100000946C7539254821404AF1F109D90D4940
8075411,1360,21436127,Entire home/apt,,Frankfurt,,Gallus,1,0.0,2,1.0,,92.0,,2017-06-22 15:31:24.593147,50.106288,8.658241,0101000020E6100000CEC5DFF60451214087FA5DD89A0D4940
4880783,1360,25101463,Entire home/apt,,Frankfurt,,Gallus,92,4.5,4,2.0,,102.0,,2017-06-22 15:31:22.651098,50.107837,8.663354,0101000020E61000007157AF22A35321403E26529ACD0D4940
